Lieu de prêt,Emplacement,"Nb prêt
02/01/17","Nb prêt
03/01/17","Nb prêt
04/01/17","Nb prêt
05/01/17","Nb prêt
06/01/17","Nb prêt
07/01/17","Nb prêt
09/01/17","Nb prêt
10/01/17","Nb prêt
11/01/17","Nb prêt
12/01/17","Nb prêt
13/01/17","Nb prêt
14/01/17","Nb prêt
16/01/17","Nb prêt
17/01/17","Nb prêt
18/01/17","Nb prêt
19/01/17","Nb prêt
20/01/17","Nb prêt
21/01/17","Nb prêt
23/01/17","Nb prêt
24/01/17","Nb prêt
25/01/17","Nb prêt
26/01/17","Nb prêt
27/01/17","Nb prêt
28/01/17","Nb prêt
30/01/17","Nb prêt
31/01/17"
Tous,                   ,316,1415,3177,696,1297,2358,223,1353,2505,579,1196,2191,169,1062,2341,533,1126,2022,211,1134,2660,547,1152,2390,242,1132
Bourg,TOTAL,0,269,807,96,284,0,0,346,391,100,292,0,0,201,376,3,132,0,0,157,505,22,281,0,0,235
                         ,ALBUMS,0,88,317,51,57,0,0,146,87,53,114,0,0,86,152,0,35,0,0,44,194,2,73,0,0,72
                         ,ARTS,0,0,6,0,3,0,0,1,1,2,1,0,0,1,2,0,4,0,0,1,3,0,1,0,0,3
                         ,BD ADULTES,0,25,25,0,23,0,0,10,7,0,10,0,0,12,9,0,2,0,0,10,20,0,6,0,0,7
                         ,BD JEUNESSE,0,26,138,23,19,0,0,36,66,11,33,0,0,24,46,0,22,0,0,15,60,16,34,0,0,25
                         ,CINEMA ADULTES,0,5,1,0,1,0,0,1,1,0,0,0,0,1,3,2,0,0,0,1,2,0,1,0,0,0
                         ,CINEMA JEUNESSE,0,0,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
                         ,GEOGRAPHIE,0,1,11,0,6,0,0,1,2,0,1,0,0,0,4,0,0,0,0,1,7,0,2,0,0,6
                         ,HISTOIRE,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1
                         ,INFORMATIQUE,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,2
                         ,JEUX D'EXERCICES,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
                         ,JEUX A REGLES,0,0,8,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
                         ,JEUX VIDEO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES,0,2,1,0,0,0,0,2,1,0,0,0,0,3,3,0,2,0,0,0,3,0,1,0,0,2
                         ,LITTERATURE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
                         ,LOISIRS CREATIFS,0,0,4,0,1,0,0,0,2,3,1,0,0,0,1,0,8,0,0,0,2,0,1,0,0,0
                         ,MUSIQUE ADULTES,0,16,27,1,27,0,0,20,46,2,17,0,0,12,1,0,0,0,0,4,18,0,42,0,0,11
                         ,MUSIQUE JEUNESSE,0,0,7,3,4,0,0,9,2,4,3,0,0,0,2,1,1,0,0,3,9,0,0,0,0,2
                         ,PHILOSOPHIE,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
                         ,PRESSE,0,18,47,0,49,0,0,21,14,0,9,0,0,4,23,0,12,0,0,17,36,0,21,0,0,19
                         ,PSYCHOLOGIE,0,5,2,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,0,0
                         ,RELIGIONS,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0
                         ,ROMANS ADULTES,0,31,99,0,50,0,0,32,76,0,55,0,0,21,36,0,28,0,0,35,47,0,61,0,0,42
                         ,ROMANS JEUNESSE,0,28,80,5,28,0,0,42,62,17,34,0,0,17,56,0,10,0,0,8,54,2,18,0,0,22
                         ,SCIENCES,0,12,3,9,5,0,0,6,2,3,3,0,0,2,2,0,5,0,0,0,22,1,0,0,0,2
                         ,SOCIETE,0,4,8,0,0,0,0,1,2,0,0,0,0,0,14,0,1,0,0,5,2,0,8,0,0,9
                         ,SPORTS ET LOISIRS,0,1,0,0,0,0,0,3,4,1,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
                         ,VIE PRATIQUE,0,5,11,3,5,0,0,10,5,0,5,0,0,14,12,0,1,0,0,0,13,1,9,0,0,6
                         ,THEATRE,0,1,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haute Chaussée,TOTAL,0,10,85,5,35,0,0,0,47,1,11,0,0,2,49,26,5,0,0,3,66,12,6,0,0,0
                         ,ALBUMS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
