Lieu de prêt,Emplacement,"Nb prêt
01/02/17","Nb prêt
02/02/17","Nb prêt
03/02/17","Nb prêt
04/02/17","Nb prêt
06/02/17","Nb prêt
07/02/17","Nb prêt
08/02/17","Nb prêt
09/02/17","Nb prêt
10/02/17","Nb prêt
11/02/17","Nb prêt
13/02/17","Nb prêt
14/02/17","Nb prêt
15/02/17","Nb prêt
16/02/17","Nb prêt
17/02/17","Nb prêt
18/02/17","Nb prêt
20/02/17","Nb prêt
21/02/17","Nb prêt
22/02/17","Nb prêt
23/02/17","Nb prêt
24/02/17","Nb prêt
25/02/17","Nb prêt
27/02/17","Nb prêt
28/02/17"
Tous,                   ,2778,737,964,2485,238,1303,2992,689,1302,2286,267,1737,1723,985,1153,1534,231,1947,1992,1176,1207,1524,200,1392
Bourg,TOTAL,521,49,125,0,0,257,631,72,244,0,0,235,180,0,144,0,0,193,287,30,152,0,0,199
                         ,ALBUMS,116,33,25,0,0,70,244,38,69,0,0,59,74,0,38,0,0,77,69,26,28,0,0,109
                         ,ARTS,3,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2
                         ,GRAPHISME,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES,34,0,11,0,0,1,15,0,9,0,0,0,1,0,16,0,0,9,15,1,8,0,0,3
                         ,BD JEUNESSE,155,1,18,0,0,64,94,14,45,0,0,23,23,0,3,0,0,17,24,1,20,0,0,17
                         ,CINEMA ADULTES,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
                         ,CINEMA JEUNESSE,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
                         ,CINEMA,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE,3,1,0,0,0,0,14,0,1,0,0,9,2,0,7,0,0,4,10,0,1,0,0,3
                         ,HISTOIRE,2,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
                         ,INFORMATIQUE,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX A REGLES,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
