Lieu de prêt,Emplacement,"Nb prêt
01/03/17","Nb prêt
02/03/17","Nb prêt
03/03/17","Nb prêt
04/03/17","Nb prêt
06/03/17","Nb prêt
07/03/17","Nb prêt
08/03/17","Nb prêt
09/03/17","Nb prêt
10/03/17","Nb prêt
11/03/17","Nb prêt
13/03/17","Nb prêt
14/03/17","Nb prêt
15/03/17","Nb prêt
16/03/17","Nb prêt
17/03/17","Nb prêt
18/03/17","Nb prêt
20/03/17","Nb prêt
21/03/17","Nb prêt
22/03/17","Nb prêt
23/03/17","Nb prêt
24/03/17","Nb prêt
25/03/17","Nb prêt
27/03/17","Nb prêt
28/03/17","Nb prêt
29/03/17","Nb prêt
30/03/17","Nb prêt
31/03/17"
Tous,                   ,2675,769,1335,2557,277,1183,3044,661,1333,2215,342,1203,2677,652,1205,2219,347,1392,2938,584,1198,2210,194,1148,2484,556,1202
Bourg,TOTAL,429,35,224,0,0,201,687,8,305,0,0,233,476,65,276,0,0,262,466,59,345,0,0,298,501,47,242
                         ,ALBUMS,132,34,82,0,0,50,228,6,116,0,0,115,170,38,87,0,0,58,154,33,130,0,0,100,117,15,101
                         ,ARTS,2,0,0,0,0,0,1,0,3,0,0,1,2,0,1,0,0,0,7,0,1,0,0,4,0,1,3
                         ,BD ADULTES,13,0,0,0,0,11,29,0,7,0,0,10,27,3,11,0,0,20,10,0,19,0,0,15,11,0,6
                         ,BD JEUNESSE,59,0,26,0,0,29,122,0,29,0,0,11,77,17,39,0,0,40,72,0,52,0,0,30,116,7,24
                         ,CINEMA ADULTES,1,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,1,1,0,1
                         ,CINEMA JEUNESSE,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,8,0,0,0,0,4,0,0,1
                         ,CINEMA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE,6,0,0,0,0,1,13,0,0,0,0,6,8,0,0,0,0,3,8,0,6,0,0,1,2,0,1
                         ,HISTOIRE,7,0,1,0,0,0,9,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0
                         ,INFORMATIQUE,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,JEUX D'EXERCICES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
                         ,JEUX A REGLES,0,0,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,6,1,4
                         ,JEUX SYMBOLIQUES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
                         ,LANGUES,8,0,3,0,0,0,4,0,0,0,0,4,2,0,1,0,0,2,6,0,0,0,0,1,4,0,0
                         ,LETTRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,LOISIRS CREATIFS,11,0,0,0,0,0,5,0,2,0,0,1,1,0,7,0,0,0,7,0,2,0,0,7,8,0,0
                         ,MUSIQUE ADULTES,14,0,0,0,0,17,12,0,6,0,0,14,24,0,24,0,0,6,17,0,19,0,0,22,25,0,10
                         ,MUSIQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
                         ,MUSIQUE JEUNESSE,0,1,9,0,0,1,5,0,1,0,0,4,6,0,1,0,0,0,9,0,10,0,0,0,5,1,0
