Lieu de prêt,Emplacement,"Nb prêt
01/07/17"
TOTAL                    ,                   ,831
Bourg                    ,TOTAL              ,44
                         ,ALBUMS             ,40
                         ,ARTS               ,0
                         ,BD ADULTES         ,0
                         ,BD JEUNESSE        ,0
                         ,CINEMA ADULTES     ,0
                         ,CINEMA JEUNESSE    ,0
                         ,CINEMA             ,0
                         ,GEOGRAPHIE         ,0
                         ,HISTOIRE           ,0
                         ,INFORMATIQUE       ,0
                         ,JEUX D'ASSEMBLAGE  ,0
                         ,JEUX D'EXERCICES   ,0
                         ,JEUX A REGLES      ,2
                         ,JEUX SYMBOLIQUES   ,0
                         ,LANGUES            ,0
                         ,LETTRES            ,0
                         ,LITTERATURE        ,0
                         ,LOISIRS CREATIFS   ,0
                         ,MUSIQUE ADULTES    ,0
                         ,MUSIQUE JEUNESSE   ,0
                         ,PHILOSOPHIE        ,0
                         ,PRESSE             ,0
                         ,PSYCHOLOGIE        ,0
                         ,RELIGIONS          ,0
                         ,ROMANS ADULTES     ,0
                         ,ROMANS JEUNESSE    ,0
                         ,SCIENCES           ,1
                         ,SOCIETE            ,0
                         ,SPORTS ET LOISIRS  ,0
                         ,VIE PRATIQUE       ,1
                         ,THEATRE            ,0
Haute-Chaussée           ,TOTAL              ,43
                         ,ALBUMS             ,2
                         ,BD ADULTES         ,0
                         ,CINEMA ADULTES     ,0
                         ,JEUX D'ASSEMBLAGE  ,3
                         ,JEUX D'EXERCICES   ,12
                         ,JEUX A REGLES      ,20
                         ,JEUX SYMBOLIQUES   ,3
                         ,JEUX VIDEO         ,3
                         ,LANGUES            ,0
                         ,PRESSE             ,0
                         ,ROMANS ADULTES     ,0
                         ,VIE PRATIQUE       ,0
Charles-Gautier-Hermeland,TOTAL              ,539
                         ,ALBUMS             ,54
                         ,ARTS               ,11
                         ,GRAPHISME          ,4
                         ,BD ADULTES         ,43
                         ,BD JEUNESSE        ,68
                         ,CINEMA ADULTES     ,41
                         ,CINEMA JEUNESSE    ,0
                         ,CINEMA             ,1
                         ,DANSE              ,2
                         ,GEOGRAPHIE         ,13
                         ,HISTOIRE           ,6
                         ,INFORMATIQUE       ,0
                         ,JEUX D'ASSEMBLAGE  ,5
                         ,JEUX D'EXERCICES   ,9
                         ,LIVRES SUR LES JEUX,0
                         ,JEUX               ,0
                         ,JEUX A REGLES      ,8
                         ,JEUX SYMBOLIQUES   ,4
                         ,JEUX VIDEO         ,0
                         ,LANGUES            ,0
                         ,LITTERATURE        ,1
                         ,FONDS LOCAL        ,0
                         ,LOISIRS CREATIFS   ,0
                         ,MUSIQUE ADULTES    ,26
                         ,MUSIQUE            ,1
                         ,MUSIQUE JEUNESSE   ,5
                         ,PHILOSOPHIE        ,4
                         ,PRESSE             ,12
                         ,FONDS PRO          ,0
                         ,PSYCHOLOGIE        ,11
                         ,RELIGIONS          ,1
                         ,ROMANS ADULTES     ,87
                         ,ROMANS JEUNESSE    ,20
                         ,SCIENCES           ,14
                         ,SOCIETE            ,55
